GRID_ID,Culture and Museum,Department and Market,Hospital,Religion,Research and Public,Terminal,University and College
B-16,,,,574.447848,,,
B-18,,,,1162.493198,,,
B-19,,,,1236.2,,,
C-17,,,,44378.77926,,,
C-18,,,,140.81,,,
C-19,,,,588.7,,,
D-11,,,,100700,,,
D-12,,,,123513.1718,,,
D-16,,,,817.9,,,
D-17,,,,512.1,,,428
D-20,,,,2896,,,
D-21,,,,,2425,,
D-22,,,,3897.9,1121.6,,
D-23,,,,5168,200.5,,
D-8,,,,547.2,417.5,,
E-10,,,,4552.206904,,,
E-11,,,,836400,,,
E-12,,,,102061.5719,,,86900
E-13,,,,17108.91683,,,180000
E-14,,,,6902.942991,,,
E-15,428.4,,,139.3969952,,,
E-16,,,,,,,72.03
E-17,,,,432.1,,,
E-18,,,,,,,270.6
E-20,,,,715.3,,,
E-21,,,,1335,,,
E-22,408.5,,,549.5524433,,,
E-23,,,,727.8,,,
E-7,,,,506.3,,,
E-8,,,,1861.641642,,,
E-9,,,,1149.2,,,
F-10,,,,11274.96185,963.9986621,5665.49806,
F-11,,,,5870.30532,,2461.742682,
F-12,,,,6743.321883,,6449.172151,
F-13,,,,46.69,,,2219.115189
F-14,,,,6808.482503,,,
F-15,,,,207.6609773,,,
F-16,,10459.67217,,7241.087959,,,
F-17,,,,8706.317118,177.0692577,,
F-19,,,,480.9,,,444.9
F-21,,,,2465.2,6328.2,,
F-22,37.13,,,4609,,,
F-23,,,,5013.780686,,,1103.3
F-9,,,,160629.2336,,,1020
G-10,,5847.694606,,7170.155673,13030,2407.70994,104300
G-11,1273.955797,,,3212.772291,700.3203869,,
G-12,,,,6939.597174,,2686.397731,
G-13,,,,5317.899716,,,
G-14,,,,290.7,,,
G-15,,242.3,,6934.105481,,,
G-16,,,,33938.91117,,,
G-17,,4989.672382,,5731.502104,,,
G-18,,,,567.8,,,
G-19,,,,5879.9,,,
G-20,,,,102.4776238,,,
G-21,,,,2219.7,,,
G-22,,,966.7,12231.62167,,,
G-23,,,,1282,,,
G-8,,,,501600,,,
G-9,,,,444260,,,
H-10,,,,3451.642016,,,23960
H-11,,,,391.7676344,59436.9,,318000
H-12,,1135.218456,,11842.11138,,,483700
H-13,,2120.258019,,11692.20732,,5178.398033,
H-14,5286.864029,,,6836.302743,1104.748286,,
H-15,,30.99,,3839.257487,,,342400
H-16,,,,17601.14397,,,57914
H-17,,3350.763187,,20756.53745,,,163200
H-19,,,,512,,,437.5
H-20,,,,1036,,,
H-21,,,,7193.717466,390,,
H-22,,,,2926.593791,,,
H-23,,,,2133,,,
H-24,,,,768.9,,,713.9
H-8,,,,184945,,,
I-10,,,,15332.76534,624673.7,,
I-11,,,,,513210,,643100
I-12,161.6668681,7823.24914,,21436.12861,16050,2649.231673,
I-13,,4004,,13795.781,4339.9,,459.9
I-14,,,,1296.870433,,,
I-15,,,,3557.348754,,,
I-16,,,,6412.613613,1079.4,,402.5
I-17,,,,2400.538998,,4530,928.6
I-21,,,,775.9,,,
I-22,,,,5587,,,
I-9,,,,9769.142999,399952.8153,,
J-10,,,,,529696,,124840
J-11,143070,,,,759810,,
J-12,,,,126863.1462,403870,,
J-13,,9332.564158,3060.724054,17218.39799,20554.46567,5542.037605,
J-14,,,,15143.76143,16632.66,,
J-15,,,,18231.16813,185.8,,119200
J-16,,2638,,30792.42378,,,107800
J-17,,,,64505.17557,687.5730788,,94590.3
J-18,,,,2647.4,,,
J-19,,,,1437.673031,,,
J-2,,,,,10920,,
