"GRID_ID","NBUSSTOP","ROUTE_N"
"A-17",2,1
"A-18",6,1
"B-14",0,0
"B-15",0,0
"B-16",0,0
"B-17",0,0
"B-18",0,0
"B-19",4,1
"C-10",0,0
"C-11",0,0
"C-12",0,0
"C-13",0,0
"C-14",0,0
"C-15",0,0
"C-16",8,1
"C-17",6,1
"C-18",6,1
"C-19",7,2
"C-20",0,0
"C-21",0,0
"C-8",0,0
"C-9",0,0
"D-10",0,0
"D-11",0,0
"D-12",2,4
"D-13",0,0
"D-14",0,0
"D-15",0,0
"D-16",7,1
"D-17",4,1
"D-18",0,0
"D-19",3,11
"D-20",8,12
"D-21",1,0
"D-22",4,1
"D-23",6,1
"D-8",0,0
"D-9",0,0
"E-10",10,2
"E-11",2,1
"E-12",14,10
"E-13",19,7
"E-14",4,3
"E-15",0,0
"E-16",1,0
"E-17",6,1
"E-18",2,11
"E-19",0,0
"E-20",11,1
"E-21",0,0
"E-22",2,2
"E-23",3,2
"E-7",7,4
"E-8",10,4
"E-9",7,2
"F-10",27,10
"F-11",9,7
"F-12",12,16
"F-13",0,0
"F-14",24,2
"F-15",16,2
"F-16",34,4
"F-17",21,16
"F-18",14,19
"F-19",2,1
"F-20",0,0
"F-21",6,1
"F-22",9,3
"F-23",6,2
"F-24",0,0
"F-7",0,0
"F-8",0,0
"F-9",4,5
"G-10",16,7
"G-11",9,7
"G-12",16,14
"G-13",16,3
"G-14",8,2
"G-15",4,3
"G-16",7,4
"G-17",37,22
"G-18",0,0
"G-19",4,1
"G-20",0,0
"G-21",8,4
"G-22",0,0
"G-23",0,0
"G-24",0,0
"G-25",0,0
"G-26",0,0
"G-7",0,0
"G-8",0,0
"G-9",4,3
"H-10",14,5
"H-11",11,5
"H-12",35,24
"H-13",53,25
"H-14",14,6
"H-15",21,10
"H-16",2,0
"H-17",28,20
"H-18",6,2
"H-19",7,8
"H-20",7,9
"H-21",15,9
"H-22",6,2
"H-23",5,2
"H-24",8,2
"H-25",7,1
"H-26",0,0
"H-6",0,0
"H-7",0,0
"H-8",14,2
"H-9",10,2
"I-10",20,8
"I-11",10,10
"I-12",29,22
"I-13",10,9
"I-14",10,6
"I-15",3,4
"I-16",15,25
"I-17",10,9
"I-18",10,9
"I-19",3,7
"I-2",0,0
"I-20",0,0
"I-21",3,1
"I-22",2,2
"I-23",0,0
"I-24",0,0
"I-25",0,0
"I-3",0,0
"I-4",0,0
"I-5",0,0
"I-6",0,0
"I-7",0,0
"I-8",3,1
"I-9",27,6
"J-10",13,7
"J-11",5,1
"J-12",19,14
"J-13",20,16
"J-14",15,13
"J-15",17,8
"J-16",14,27
"J-17",22,26
"J-18",8,1
"J-19",5,1
"J-2",0,0
"J-20",0,0
"J-21",0,0
"J-22",0,0
"J-23",0,0
"J-24",0,0
"J-3",6,1
"J-4",0,0
"J-5",10,2
"J-6",0,0
"J-7",0,0
"J-8",0,0
"J-9",7,3
"K-1",2,1
"K-10",25,6
"K-11",19,14
"K-12",43,23
"K-13",28,23
"K-14",35,14
"K-15",26,28
"K-16",22,44
"K-17",20,14
"K-18",19,5
"K-19",5,2
"K-2",0,0
"K-20",0,0
"K-21",0,0
"K-22",0,0
"K-3",4,1
"K-4",2,3
"K-5",12,8
"K-6",18,9
"K-7",16,8
"K-8",16,4
"K-9",6,2
"L-1",0,0
"L-10",4,2
"L-11",12,4
"L-12",16,8
"L-13",31,16
"L-14",17,11
"L-15",30,9
"L-16",37,38
"L-17",14,12
"L-18",17,10
"L-19",17,4
"L-2",4,1
"L-20",2,3
"L-21",2,3
"L-22",0,0
"L-23",0,0
"L-3",8,3
"L-4",6,3
"L-5",0,0
"L-6",19,13
"L-7",19,9
"L-8",23,7
"L-9",23,5
"M-10",6,3
"M-11",15,4
"M-12",10,11
"M-13",12,7
"M-14",32,12
"M-15",26,27
"M-16",22,6
"M-17",3,1
"M-18",2,1
"M-19",10,3
"M-2",0,0
"M-20",2,3
"M-21",8,3
"M-22",2,1
"M-23",0,0
"M-24",2,1
"M-3",0,0
"M-4",0,0
"M-5",15,8
"M-6",9,3
"M-7",16,3
"M-8",15,8
"M-9",20,5
"N-10",8,13
"N-11",17,17
"N-12",24,12
"N-13",29,13
"N-14",30,18
"N-15",45,34
"N-16",28,11
"N-17",0,0
"N-18",0,0
"N-19",4,1
"N-20",0,0
"N-21",2,0
"N-22",2,2
"N-23",2,1
"N-24",2,1
